City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pimentel,-6.84,-79.93,66.2,29,75,5.82,PE,1585764415
1,victoria,22.29,114.16,69.01,88,40,18.34,HK,1585764288
2,padang,-0.95,100.35,79.9,75,99,1.63,ID,1585764115
3,hasaki,35.73,140.83,55.0,100,75,4.7,JP,1585764415
4,kahului,20.89,-156.47,70.0,88,1,7.63,US,1585764415
5,rocha,-34.48,-54.33,72.52,71,100,12.68,UY,1585764415
6,pangai,-19.8,-174.35,79.79,77,93,11.07,TO,1585764415
7,puerto ayora,-0.74,-90.35,84.2,70,20,8.05,EC,1585764178
8,mataura,-46.19,168.86,53.01,89,57,1.77,NZ,1585764415
9,port alfred,-33.59,26.89,63.0,87,68,9.71,ZA,1585764416
10,watsa,3.04,29.54,69.6,68,70,0.16,CD,1585764416
11,rosetta,31.4,30.42,62.6,77,20,9.17,EG,1585764416
12,punta arenas,-53.15,-70.92,60.01,58,62,25.28,CL,1585764416
13,rikitea,-23.12,-134.97,78.66,73,27,4.68,PF,1585764416
14,ushuaia,-54.8,-68.3,53.6,66,20,7.11,AR,1585764401
15,bengkulu,-3.8,102.27,78.39,82,94,3.89,ID,1585764416
16,ust-nera,64.57,143.2,3.69,81,99,1.68,RU,1585764417
17,qaanaaq,77.48,-69.36,-1.75,81,100,11.39,GL,1585764417
18,georgetown,5.41,100.34,82.4,88,40,2.24,MY,1585764262
19,uzhur,55.3,89.83,33.84,76,9,4.16,RU,1585764417
20,bluff,-46.6,168.33,53.01,89,57,5.26,NZ,1585764417
21,busselton,-33.65,115.33,59.0,91,95,9.69,AU,1585764417
22,atuona,-9.8,-139.03,81.99,78,91,12.01,PF,1585764417
23,sitka,57.05,-135.33,32.0,83,1,4.7,US,1585764417
24,makakilo city,21.35,-158.09,77.0,100,1,6.93,US,1585764417
25,mahebourg,-20.41,57.7,78.8,94,40,4.7,MU,1585764418
26,hamilton,39.18,-84.53,53.6,58,90,9.17,US,1585764330
27,at-bashi,41.17,75.81,35.26,34,100,1.77,KG,1585764418
28,chinameca,13.5,-88.35,91.4,62,4,8.05,SV,1585764418
29,yershov,51.35,48.28,33.67,79,58,10.25,RU,1585764418
30,cherskiy,68.75,161.3,-2.33,87,28,4.65,RU,1585764418
31,saskylakh,71.92,114.08,2.86,92,100,6.98,RU,1585764418
32,sao filipe,14.9,-24.5,75.61,74,65,16.53,CV,1585764418
33,jalalabad,34.43,70.45,61.95,45,39,2.39,AF,1585764418
34,albany,42.6,-73.97,52.0,34,75,11.41,US,1585764360
35,ribeira grande,38.52,-28.7,57.87,83,100,35.25,PT,1585764419
36,paamiut,61.99,-49.67,23.77,87,100,20.24,GL,1585764419
37,carrickfergus,54.72,-5.81,48.2,70,97,10.29,GB,1585764419
38,barra do garcas,-15.89,-52.26,95.0,44,20,3.36,BR,1585764159
39,carnarvon,-24.87,113.63,71.6,83,40,14.99,AU,1585764419
40,thompson,55.74,-97.86,19.4,73,90,6.93,CA,1585764419
41,meulaboh,4.14,96.13,79.43,80,100,4.36,ID,1585764419
42,svetlogorsk,52.63,29.73,34.0,79,94,11.54,BY,1585764420
43,tuktoyaktuk,69.45,-133.04,3.2,65,5,16.11,CA,1585764420
44,porto novo,6.5,2.6,84.2,74,40,13.87,BJ,1585764420
45,saint-augustin,51.23,-58.65,36.93,96,100,15.03,CA,1585764420
46,barrow,71.29,-156.79,3.2,84,1,10.29,US,1585764420
47,avarua,-21.21,-159.78,80.6,88,75,10.29,CK,1585764420
48,saint-junien,45.88,0.9,60.01,47,28,10.29,FR,1585764420
49,taoudenni,22.68,-3.98,92.62,10,12,4.03,ML,1585764420
50,mushie,-3.02,16.9,75.29,85,91,5.95,CD,1585764421
51,nanakuli,21.39,-158.15,77.0,100,1,6.93,US,1585764421
52,pevek,69.7,170.31,-5.04,88,45,2.24,RU,1585764421
53,tasiilaq,65.61,-37.64,17.6,52,20,12.75,GL,1585764421
