City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,15,CL,1588618806,57,-53.15,-70.92,48.2,11.41
blagoyevo,100,RU,1588618849,91,63.37,47.92,44.73,2.57
arraial do cabo,0,BR,1588618805,57,-22.97,-42.03,77.0,6.93
port alfred,0,ZA,1588618850,88,-33.59,26.89,61.0,5.01
varkaus,3,FI,1588618850,87,62.32,27.87,46.0,2.24
chokurdakh,99,RU,1588618851,96,70.63,147.92,15.01,2.66
cape town,5,ZA,1588618832,87,-33.93,18.42,61.0,6.93
sobolevo,100,RU,1588618851,82,54.43,31.9,56.25,3.96
albany,64,US,1588618803,52,42.6,-73.97,55.99,15.79
cidreira,100,BR,1588618644,65,-30.18,-50.21,69.8,8.84
harper,87,LR,1588618852,85,4.38,-7.72,81.19,8.32
vaini,20,TO,1588618853,94,-21.2,-175.2,69.8,3.36
georgetown,20,MY,1588618853,88,5.41,100.34,82.4,6.26
haines junction,52,CA,1588618854,52,60.75,-137.51,44.19,4.68
college,75,US,1588618854,42,64.86,-147.8,48.2,5.82
vezirkopru,40,TR,1588618854,66,41.14,35.45,55.4,2.24
mamlyutka,0,KZ,1588618855,62,54.94,68.54,41.5,3.42
saint anthony,75,US,1588618855,43,45.02,-93.22,57.0,14.99
hobart,21,AU,1588618841,87,-42.88,147.33,45.0,8.05
atuona,0,PF,1588618856,69,-9.8,-139.03,81.79,18.77
omsukchan,0,RU,1588618856,87,62.53,155.8,13.59,1.86
bredasdorp,1,ZA,1588618856,87,-34.53,20.04,55.4,2.24
dutse,99,NG,1588618857,23,11.76,9.34,92.64,11.7
nikolskoye,90,RU,1588618857,93,59.7,30.79,48.0,2.24
port hardy,90,CA,1588618858,71,50.7,-127.42,50.0,19.46
jamestown,90,US,1588618858,75,42.1,-79.24,45.0,17.22
faya,40,SA,1588618858,49,18.39,42.45,68.0,9.17
puerto ayora,75,EC,1588618859,83,-0.74,-90.35,80.6,16.11
chuy,100,UY,1588618859,65,-33.7,-53.46,66.4,3.11
cayambe,75,EC,1588618859,53,0.05,-78.13,71.6,10.29
collie,71,AU,1588618860,71,-33.37,116.15,55.99,2.42
yellowknife,20,CA,1588618860,64,62.46,-114.35,35.6,5.82
barrow,20,US,1588618707,84,71.29,-156.79,1.4,8.05
airai,100,TL,1588618861,64,-8.93,125.41,59.0,3.53
busselton,100,AU,1588618861,71,-33.65,115.33,55.99,9.4
tiksi,100,RU,1588618861,97,71.69,128.87,17.47,9.33
tshikapa,54,CD,1588618862,69,-6.42,20.8,76.17,3.47
sao filipe,1,CV,1588618862,62,14.9,-24.5,77.77,14.0
broome,90,US,1588618862,70,42.25,-75.83,46.99,14.99
sarangani,0,PH,1588618863,75,5.4,125.46,83.68,6.35
sijunjung,100,ID,1588618863,84,-0.69,100.95,72.05,1.74
thompson,20,CA,1588618863,36,55.74,-97.86,44.6,4.7
mahebourg,40,MU,1588618864,83,-20.41,57.7,75.2,10.29
perumpavur,100,IN,1588618864,83,10.13,76.48,82.4,2.24
ushuaia,64,AR,1588618864,61,-54.8,-68.3,46.4,26.4
little current,1,CA,1588618865,39,45.98,-81.92,46.0,13.87
pullman,1,US,1588618865,43,46.73,-117.18,57.0,5.82
saldanha,0,ZA,1588618865,72,-33.01,17.94,59.0,6.93
moengo,98,SR,1588618866,69,5.62,-54.4,84.58,8.95
bac lieu,0,VN,1588618866,73,9.29,105.72,83.82,3.91
kapaa,40,US,1588618866,73,22.08,-159.32,77.0,17.22
hermanus,27,ZA,1588618867,89,-34.42,19.23,59.0,3.0
hithadhoo,27,MV,1588618867,73,-0.6,73.08,84.65,8.01
hay river,75,CA,1588618868,74,60.82,-115.8,35.6,11.41
ladesti,50,RO,1588618868,72,44.88,24.05,59.0,6.93
tasiilaq,20,GL,1588618869,92,65.61,-37.64,30.2,20.8
samarai,100,PG,1588618869,88,-10.62,150.67,79.75,16.53
kodiak,90,US,1588618869,81,57.79,-152.41,44.6,3.36
juegang,100,CN,1588618870,89,32.32,121.19,64.0,1.01
tuktoyaktuk,20,CA,1588618870,84,69.45,-133.04,6.8,12.75
ilulissat,75,GL,1588618870,68,69.22,-51.1,24.8,14.99
sorland,75,NO,1588618871,72,67.67,12.69,39.2,6.93
kruisfontein,0,ZA,1588618871,84,-34.0,24.73,57.45,3.0
mataura,46,NZ,1588618872,92,-46.19,168.86,40.8,5.84
hilo,75,US,1588618872,69,19.73,-155.09,75.2,3.36
bluff,1,NZ,1588618872,72,-46.6,168.33,48.06,24.87
santa vitoria do palmar,100,BR,1588618873,59,-33.52,-53.37,67.15,1.99
prattville,40,US,1588618873,54,32.46,-86.46,84.99,5.82
port blair,100,IN,1588618874,76,11.67,92.75,83.88,5.95
viedma,100,AR,1588618837,53,-40.81,-63.0,59.5,10.11
carnarvon,90,AU,1588618874,100,-24.87,113.63,66.2,3.36
kuching,40,MY,1588618807,100,1.55,110.33,75.2,2.24
rikitea,100,PF,1588618875,70,-23.12,-134.97,73.74,13.24
codrington,1,AU,1588618876,93,-38.27,141.97,46.89,7.58
eirunepe,33,BR,1588618876,56,-6.66,-69.87,88.25,2.44
taltal,22,CL,1588618876,62,-25.4,-70.48,66.72,6.87
pevek,100,RU,1588618877,95,69.7,170.31,12.61,7.54
castro,0,BR,1588618778,34,-24.79,-50.01,69.49,3.87
tiznit,0,MA,1588618877,48,29.58,-9.5,67.35,8.16
toledo,100,ES,1588618878,37,39.83,-4.0,82.4,17.22
cayenne,98,GF,1588618810,83,4.93,-52.33,80.6,18.34
jiwani,0,PK,1588618879,71,25.05,61.74,84.85,16.17
khatanga,96,RU,1588618879,94,71.97,102.5,3.18,14.52
hasaki,75,JP,1588618879,100,35.73,140.83,64.4,5.82
narsaq,75,GL,1588618880,60,60.92,-46.05,42.8,3.36
dikson,72,RU,1588618880,87,73.51,80.55,2.03,5.64
bambous virieux,40,MU,1588618880,83,-20.34,57.76,77.0,10.29
victoria,4,HK,1588618856,78,22.29,114.16,80.01,11.01
preobrazheniye,0,RU,1588618881,65,42.9,133.91,41.22,6.44
mirnyy,100,RU,1588618882,32,62.54,113.96,37.4,4.47
hun,0,LY,1588618882,30,29.13,15.95,74.98,14.65
